name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,java,1,20,1110,22.480,561732,0,56%,10.096
binarytrees,javaxint,2,20,700,117.204,471724,0,25%,113.657
binarytrees,java,2,20,700,15.475,505704,0,32%,11.845
binarytrees,python,2,20,480,499.468,230368,0,24%,499.679
binarytrees,python,6,20,743,505.896,600848,0,93%,135.500
binarytrees,python,7,20,686,443.417,433036,0,93%,119.110
binarytrees,csharp,2,20,746,91.682,213476,0,24%,91.734
binarytrees,csc,2,20,746,39.796,345988,0,24%,39.777
binarytrees,fsc,2,20,681,43.431,213684,0,24%,43.123
binarytrees,ipy,2,20,480,295.372,445124,0,24%,295.834
binarytrees,fsc,3,20,753,39.671,194616,0,24%,39.6755
binarytrees,ipy,6,20,743,0.000,0,-2,%,1.232
chameneosredux,java,1,6000000,1966,19.017,81072,0,32%,10.458
chameneosredux,javaxint,2,6000000,1733,86.971,77768,0,64%,31.934
chameneosredux,java,2,6000000,1733,37.315,78452,0,67%,12.965
chameneosredux,python,2,6000000,1185,287.603,3500,0,13%,256.111
chameneosredux,javaxint,3,6000000,1956,547.298,77648,0,39%,301.350
chameneosredux,java,3,6000000,1715,18.923,79108,0,86%,5.487
chameneosredux,javaxint,4,6000000,1765,48.267,77736,0,78%,15.281
chameneosredux,java,4,6000000,1765,41.512,78832,0,80%,12.806
chameneosredux,csharp,1,6000000,1714,85.021,7884,0,70%,24.953
chameneosredux,csc,1,6000000,1714,31.887,20052,0,83%,9.163
chameneosredux,ipy,2,6000000,1185,453.542,40928,0,29%,222.839
fannkuchredux,java,1,12,1396,68.328,78384,0,99%,17.294
fannkuchredux,csharp,1,12,684,109.762,6560,0,25%,109.852
fannkuchredux,csc,1,12,684,98.764,7660,0,25%,98.906
fannkuchredux,fsc,1,12,638,192.661,12388,0,25%,192.855
fannkuchredux,csharp,2,12,791,105.925,6592,0,25%,106.043
fannkuchredux,csc,2,12,791,73.523,7664,0,25%,73.695
fannkuchredux,java,2,12,648,83.975,78588,0,25%,84.005
fannkuchredux,csharp,3,12,1231,115.394,9192,0,98%,29.204
fannkuchredux,csc,3,12,1231,77.688,11852,0,99%,19.588
fannkuchredux,java,3,12,1902,43.041,80688,0,98%,10.898
fannkuchredux,python,4,12,511,4174.524,2940,0,25%,4179.529
fannkuchredux,python,5,12,626,3324.241,2968,0,25%,3329.034
fannkuchredux,python,6,12,548,2662.173,2936,0,25%,2666.201
fasta,python,1,25000000,892,161.274,2952,0,25%,161.675
fasta,javaxint,2,25000000,1376,57.237,77648,0,25%,57.299
fasta,java,2,25000000,1376,7.987,78188,0,24%,7.948
fasta,python,2,25000000,877,160.057,2972,0,25%,160.559
fasta,csharp,1,25000000,1565,3.806,5816,0,25%,3.812
fasta,csc,1,25000000,1565,3.354,7740,0,25%,3.378
fasta,fsc,1,25000000,1065,15.616,10432,0,24%,15.641
fasta,csharp,2,25000000,1343,9.032,5740,0,24%,9.018
fasta,csc,2,25000000,1343,7.940,7688,0,24%,7.988
fasta,ipy,2,25000000,877,257.199,29612,0,22%,257.499
fasta,java,3,25000000,1516,1.934,77964,0,24%,1.907
fasta,python,4,25000000,1011,0.000,0,-2,%,43.064
knucleotide,javaxint,1,25000000,1471,1557.358,665940,0,88%,439.926
knucleotide,java,1,25000000,1471,62.400,671248,0,58%,26.844
knucleotide,python,1,25000000,571,347.664,445456,0,25%,350.414
knucleotide,javaxint,2,25000000,1732,960.904,378584,0,84%,283.835
knucleotide,java,2,25000000,1732,46.285,476756,0,83%,13.893
knucleotide,python,5,25000000,634,257.870,447768,0,24%,258.624
knucleotide,python,7,25000000,809,0.000,0,-2,%,0.240
knucleotide,python,8,25000000,758,0.000,0,-2,%,0.206
knucleotide,csharp,1,25000000,1512,106.346,535008,0,24%,106.575
knucleotide,csc,1,25000000,1512,92.602,458372,0,24%,92.779
knucleotide,ipy,1,25000000,571,458.924,965204,0,24%,460.049
knucleotide,csharp,2,25000000,1165,264.702,601872,0,24%,266.920
knucleotide,csc,2,25000000,1165,118.826,531868,0,24%,119.059
knucleotide,csharp,3,25000000,1679,958.236,522944,0,88%,270.128
knucleotide,csc,3,25000000,1679,152.678,527492,0,74%,51.195
knucleotide,csharp,4,25000000,1804,105.332,545044,0,76%,34.494
knucleotide,csc,4,25000000,1804,88.609,463392,0,81%,27.368
knucleotide,ipy,7,25000000,809,0.000,0,-2,%,1.199
mandelbrot,csharp,1,16000,967,0.000,6900,-10,40%,0.234
mandelbrot,csc,1,16000,967,0.000,11932,-10,34%,0.149
mandelbrot,java,1,16000,762,42.448,77664,0,24%,42.447
mandelbrot,python,1,16000,362,0.000,2964,-10,25%,16.137
